placeID,latitude,longitude,the_geom_meter,name,city,state,alcohol,smoking_area,accessibility,price,franchise,rating_mean,food_rating_mean,service_rating_mean,ratings_count,cuisines_options,payment_options,userID,rating,food_rating,service_rating,parking,popular,good_restaurant
134999,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,No_Alcohol_Served,none,no_accessibility,2,1,1.6,1.6,1.6,5,1.0,1.0,U1093,2,2,2,0,0,1
134999,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,No_Alcohol_Served,none,no_accessibility,2,1,1.6,1.6,1.6,5,1.0,1.0,U1066,1,1,1,0,0,1
134999,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,No_Alcohol_Served,none,no_accessibility,2,1,1.6,1.6,1.6,5,1.0,1.0,U1040,1,1,1,0,0,1
134999,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,No_Alcohol_Served,none,no_accessibility,2,1,1.6,1.6,1.6,5,1.0,1.0,U1110,2,2,2,0,0,1
134999,18.915421,-99.184871,0101000020957F000088568DE356715AC138C0A525FC464A41,Kiku Cuernavaca,Cuernavaca,Morelos,No_Alcohol_Served,none,no_accessibility,2,1,1.6,1.6,1.6,5,1.0,1.0,U1121,2,2,2,0,0,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1077,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1055,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1053,1,2,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1081,1,0,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1001,2,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1056,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1134,1,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1116,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1024,1,1,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1132,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1036,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1071,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1049,0,0,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1104,1,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1045,2,1,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1009,1,1,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1135,0,0,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1062,0,0,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1109,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1085,2,2,2,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1098,1,1,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1003,2,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1091,0,1,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1029,1,1,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1137,2,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1114,0,0,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1061,1,2,1,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1057,1,1,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1025,0,0,0,0,1,1
132825,22.1473922,-100.983092,0101000020957F00001AD016568C4858C1243261274BA54B41,puesto de tacos,San Luis Potosí,San Luis Potosí,No_Alcohol_Served,none,completely,1,1,1.28125,1.34375,0.9375,32,1.0,1.0,U1059,2,1,1,0,1,1
